year,Burgalary_sum,Rape_sum,Robbery_sum,Aggressive_sum,Violentcrime_sum
1975,9146,24357,291395,179109,504007
1976,8326,23928,267604,178843,478701
1977,8409,26356,251230,186593,472588
1978,8651,28148,255960,197589,490348
1979,9885,31494,286020,215948,543347
1980,10677,33002,339684,228955,612318
1981,10286,32042,358031,223673,624032
1982,9587,30681,339094,228961,608323
1983,9063,31800,319230,232323,592416
1984,8584,33679,309016,262248,613527
1985,8648,36204,314797,281844,641493
1986,9734,36736,339185,330836,716491
1987,9407,35221,317554,343652,705834
1988,9743,34015,321328,361353,726439
1989,10523,33592,354522,388498,787135
1990,11866,36541,398272,419290,865969
1991,12288,36058,421944,430026,900316
1992,11729,35249,403039,432107,882124
1993,11919,33328,390716,431000,866963
1994,10816,31375,354592,420663,817446
1995,10041,30041,324540,402129,766751
1996,8941,29340,296351,380617,715249
1997,7954,27730,263843,367743,667270
1998,7113,26494,234004,351669,619280
1999,6822,24679,217483,330449,579433
2000,6774,24552,213910,329141,574377
2001,6629,21408,199032,309782,536851
2002,7130,24305,213080,317150,561665
2003,7255,23461,208401,294279,533396
2004,6939,23174,196543,286501,513157
2005,7103,22746,204989,281288,516126
2006,7384,22190,214051,278598,522223
2007,7051,21141,210704,272239,511135
2008,6715,20160,206677,264209,497761
2009,5985,19895,188615,249491,463986
2010,5867,19660,171034,241700,438261
2011,5702,19573,165825,232878,423978
2012,5848,19709,166938,239243,431738
2013,5344,22739,163472,230952,422507
2014,5349,27107,151336,237519,421311
2015,3821,17743,90676,145050,257290
